"year","month","day","data","median","LB","UB"
2023,3,16,0,0.23277614129649,0,2.91033612065189
2023,3,23,0,0.217028023055922,0,3.21083757376918
2023,3,30,3,0.201677178987512,0,2.59074284463841
2023,4,6,0,0.186708763442552,0,2.29653481879304
2023,4,13,0,0.172108661333365,0,2.8164868348684
2023,4,20,0,0.157863443790034,0,2.23389451881612
2023,4,27,2,0.143960326900654,0,2.22161368645451
2023,5,4,0,0.13038713351339,0,2.00808578011466
2023,5,11,0,0.117132257614661,0,1.89815950710223
2023,5,18,0,0.104184631246195,0,1.87823649367879
2023,5,25,NA,0.0915336936887654,0,1.79383182279405
2023,6,1,NA,0.0791693627286765,0,1.77800564544689
2023,6,8,NA,0.0670820078599965,0,1.29862307568766
2023,6,15,NA,0.0552624252677485,0,1.30446684792801
