"year","month","day","data","median","LB","UB"
2023,3,16,92,118.691691695942,42.9425334231362,199.368687106373
2023,3,23,113,117.802518350134,41.4749448591482,199.666423144898
2023,3,30,111,116.913677632255,37.9900097519081,196.150249155038
2023,4,6,182,116.025171794751,38.4870882878193,193.259091135906
2023,4,13,94,115.137003126808,42.9711405382147,195.108909794452
2023,4,20,70,114.249173945725,41.4534660764643,196.250024441268
2023,4,27,137,113.361686606891,32.3255269520415,190.673480199717
2023,5,4,163,112.474543496476,37.371052445405,189.669944670871
2023,5,11,146,111.587747034966,38.0029204948581,185.703736659895
2023,5,18,42,110.701299681561,35.5563188996123,191.321658830442
2023,5,25,NA,109.815203928751,27.4733457411998,185.945842955284
2023,6,1,NA,108.929462305883,30.3722880840089,192.182374062057
2023,6,8,NA,108.044077379993,32.3857326885186,186.408426602208
2023,6,15,NA,107.159051756659,32.6990526791712,182.009641226771
