month,day,data,median,LB,UB
3,16,18,18,18,18
3,23,0,1.16739183037618,-0,5.21276957721385
3,30,2,0.921507242568932,-0,4.39005479694503
4,6,0,0.787050746921114,-0,4.26087688795807
4,13,0,0.707942361492302,-0,4.05125772056249
4,20,0,0.649542629819416,-0,4.07768752724115
4,27,4,0.616338930803424,-0,3.95240452153863
5,4,0,0.580629455453572,-0,3.98724297742098
5,11,0,0.529074729588913,-0,4.03960304735647
5,18,0,0.519532994202135,-0,3.99439774289661
5,25,NaN,0.471253841190702,-0,4.00102618528565
6,1,NaN,0.539590880625363,-0,4.0679554832147
6,8,NaN,0.531962147470515,-0,4.01511674736935
6,15,NaN,0.525159222690746,-0,4.09940222278383
