month,day,data,median,LB,UB
3,23,9,9,9,9
3,30,0,7.63563699391057,-0,21.5272035006255
4,6,15,5.31588777242806,-0,18.6371811476185
4,13,0,3.52618535023785,-0,15.8109553609784
4,20,0,2.20257027330388,-0,13.5999534425875
4,27,0,1.34955999445811,-0,12.2114113343766
5,4,0,0.865306172641702,-0,12.1368536691407
5,11,0,0.573271053199372,-0,11.5749870138294
5,18,0,0.424762761064183,-0,11.4126824895115
5,25,NaN,0.388790580921347,-0,11.4270671219838
6,1,NaN,0.199619577304558,-0,11.3660523892965
6,8,NaN,0.334925262813228,-0,11.5983059037964
6,15,NaN,0.360560259364027,-0,11.4367289080748
