month,day,data,median,LB,UB
3,23,9,9,9,9
3,30,0,10.4760640899006,-0,58.5145624661652
4,6,19,10.8521515067884,-0,53.548044719396
4,13,0,11.5296783465711,-0,53.4195493739257
4,20,9,11.9437993992855,-0,53.9508630913461
4,27,0,12.0115460292352,-0,53.7020807639129
5,4,45,12.3367192026666,-0,53.3731409988911
5,11,0,11.1738136289104,-0,54.5028179761921
5,18,7,10.7778670450662,-0,55.1673322159046
5,25,NaN,10.0848079325456,-0,60.3248224886161
6,1,NaN,10.2930014112942,-0,71.7170347693756
6,8,NaN,9.6298393373217,-0,88.9610956984471
6,15,NaN,8.58999484570584,-0,115.412249188365
