month,day,data,median,LB,UB
3,16,1,1,1,1
3,23,0,0.11984564006234,-0,0.884676393736221
3,30,0,0.124387273998168,-0,0.865566345267707
4,6,0,0.123196915232498,-0,0.925131798095344
4,13,1,0.129514181876152,-0,0.887908649835918
4,20,0,0.136756614526384,-0,0.913067708064765
4,27,0,0.140092850496706,-0,0.920170624632218
5,4,0,0.142848778260688,-0,0.935859924364914
5,11,0,0.1581725066437,-0,0.95854298923109
5,18,0,0.152224923404948,-0,0.990299251683454
5,25,NaN,0.1753106514222,-0,0.993175460348698
6,1,NaN,0.174007390018786,-0,1.04407113087467
6,8,NaN,0.171403125722048,-0,1.0799781889281
6,15,NaN,0.194969691950429,-0,1.12432179044018
