year,month,day,data,median,LB,UB
2023,3,16,92,92,92,92
2023,3,23,113,120.485813544164,40.0158816901697,202.713321123488
2023,3,30,111,131.016378326173,55.9286714979702,204.779709424883
2023,4,6,182,127.299642945894,56.2282424393636,201.628449640452
2023,4,13,94,117.624111757783,47.5319558594274,187.804797730775
2023,4,20,70,103.034739357714,31.1927800618851,172.685129368017
2023,4,27,71,86.5690018601141,16.6128270230681,159.196587816759
2023,5,4,96,72.5830448366612,1.40823355507047,142.575869097403
2023,5,11,87,58.7217357097715,-0,131.706294604795
2023,5,18,32,48.0525027133827,-0,119.747838200399
2023,5,25,NaN,37.912758760885,-0,112.587765956784
2023,6,1,NaN,30.8087056334392,-0,103.706802606052
2023,6,8,NaN,25.389971131141,-0,95.8807963153532
2023,6,15,NaN,19.9051943073471,-0,93.8383317081743
