year,month,day,data,median,LB,UB
2023,3,23,9,9,9,9
2023,3,30,0,7.73448197374189,-0,48.3857423664317
2023,4,6,19,9.90903935189819,-0,51.4808516547308
2023,4,13,0,11.2465828841527,-0,51.6727408118756
2023,4,20,9,12.5173477133159,-0,51.3712318834505
2023,4,27,0,12.3354399240248,-0,50.0320971812736
2023,5,4,45,12.0033205745297,-0,50.8936792423077
2023,5,11,0,11.1612377963181,-0,51.1659367287927
2023,5,18,7,10.1255395324259,-0,53.631487884368
2023,5,25,NaN,9.47229601589714,-0,60.2858533879213
2023,6,1,NaN,9.03399478764432,-0,72.8824472719556
2023,6,8,NaN,8.58996190690045,-0,92.6510318558631
2023,6,15,NaN,7.53774799368052,-0,121.315148078037
