year,month,day,data,median,LB,UB
2023,3,16,18,18,18,18
2023,3,23,0,1.05307855017785,-0,4.94698379127407
2023,3,30,2,0.924771054857523,-0,4.45305276445411
2023,4,6,0,0.80608159757963,-0,4.27411098807255
2023,4,13,0,0.709414974288562,-0,4.18723809085208
2023,4,20,0,0.642599830977987,-0,4.09601426815891
2023,4,27,4,0.598077289558649,-0,3.99412821581696
2023,5,4,0,0.489405118716585,-0,4.01716236327492
2023,5,11,0,0.486407433476877,-0,3.98736288828512
2023,5,18,0,0.532019720063033,-0,3.93519148960257
2023,5,25,NaN,0.517158037574134,-0,4.02461772443476
2023,6,1,NaN,0.470885870322558,-0,3.95461957024997
2023,6,8,NaN,0.510361764871963,-0,4.04115818846659
2023,6,15,NaN,0.471396180241502,-0,4.12122036659778
