year,month,day,data,median,LB,UB
2023,3,16,92,92,92,92
2023,3,23,113,105.740585373557,-0,231.83480140047
2023,3,30,111,141.192148729155,15.7380177058066,270.973250653997
2023,4,6,182,132.910369749534,16.6638293959985,253.752450429782
2023,4,13,94,106.185014964388,-0,222.960766415174
2023,4,20,70,83.2757102380743,-0,206.545871342598
2023,4,27,71,75.3053523461667,-0,197.395944251369
2023,5,4,96,71.9072774112732,-0,193.393469584103
2023,5,11,87,70.3860646029859,-0,195.435149759473
2023,5,18,32,66.0849808781941,-0,197.91398889049
2023,5,25,NaN,61.6603918137345,-0,229.042442345394
2023,6,1,NaN,55.2638488213575,-0,303.022236439972
2023,6,8,NaN,44.913478091348,-0,270.852454499156
2023,6,15,NaN,36.4991114117907,-0,193.823845035942
