year,month,day,data,median,LB,UB
2023,3,23,12,12,12,12
2023,3,30,3,3.59538496028661,-0,16.9375023643871
2023,4,6,4,3.40198085897279,-0,16.8772874479063
2023,4,13,3,4.74674036112817,-0,18.0049408758951
2023,4,20,4,6.08459047812365,-0,19.6822262416334
2023,4,27,11,7.39114074423132,-0,21.020805946871
2023,5,4,5,8.44985700910905,-0,21.9520832250476
2023,5,11,9,9.60183383828633,-0,23.1668048062488
2023,5,18,12,10.3589446512157,-0,26.5782744060693
2023,5,25,NaN,9.56985261333856,-0,30.867448404275
2023,6,1,NaN,8.55033882383922,-0,43.0617814179581
2023,6,8,NaN,7.20420929482341,-0,59.6897641851964
2023,6,15,NaN,5.97682295194025,-0,78.832625172053
