"year","month","day","data","median","LB","UB"
2023,3,23,0,0.871226745085547,0,3.23584455521341
2023,3,30,2,0.810991559992908,0,3.20885812036924
2023,4,6,0,0.750756374892952,0,3.28959062163552
2023,4,13,0,0.690521189775271,0,3.33547296273143
2023,4,20,0,0.630286004732271,0,2.98169034256731
2023,4,27,4,0.570050819602074,0,3.08358740683179
2023,5,4,0,0.509815634413498,0,3.18774269527486
2023,5,11,0,0.449580449217598,0,2.75291118215224
2023,5,18,0,0.389345263935608,0,2.8744358446435
2023,5,25,0,0.329110078653617,0,2.85544308455608
2023,6,1,NA,0.268874893371627,0,2.89988967206071
2023,6,8,NA,0.208639708089636,0,2.73445428748948
2023,6,15,NA,0.148404522807646,0,2.4179604344006
2023,6,22,NA,0.0881693375256554,0,2.63161607157719
