"month","day","data","median","LB","UB"
3,30,2,2,2,2
4,6,0,1.44085363058295,0,10.1445936295569
4,13,0,1.75697534793816,0,9.65819477574968
4,20,0,1.98423010383574,0,10.2026493600731
4,27,4,2.61419700829465,0,10.974008903796
5,4,0,3.12206293110352,0,11.220535217451
5,11,0,3.86476551027049,0,12.1334851031135
5,18,0,4.86077127329308,0,13.6274564956497
5,25,12,6.08518642082434,0,15.8182933638137
6,1,NA,7.61924005609789,0,19.4078584129108
6,8,NA,9.45134417362068,0,25.0367445255884
6,15,NA,11.5864764704387,0,33.4479816947879
6,22,NA,14.1594824321321,0,46.2032936675404
