"month","day","data","median","LB","UB"
3,30,3,3,3,3
4,6,0,0.745739734849384,0,4.25488988521507
4,13,0,0.825750492871702,0,4.17075311907858
4,20,0,0.812169449835033,0,4.25612122384647
4,27,2,0.955683978194485,0,4.41585436591375
5,4,0,1.07936151990686,0,4.47400852128587
5,11,0,1.15878824291091,0,4.68016635422531
5,18,0,1.37616784544072,0,4.99851169371072
5,25,4,1.55676651751033,0,5.31062903915453
6,1,NA,1.68234429859881,0,5.88338737486171
6,8,NA,1.80815997735254,0,6.31586516805541
6,15,NA,1.96439630216749,0,7.45854076858255
6,22,NA,2.09248043409541,0,8.92752193390661
