"month","day","data","median","LB","UB"
3,23,9,9,9,9
3,30,0,7.60865492491084,0,45.5681747925774
4,6,19,9.19518989565945,0,46.3434114851303
4,13,0,10.2403826413745,0,47.0667325678902
4,20,9,11.0908755629943,0,47.8828528822148
4,27,0,11.4916327310559,0,47.0124709401334
5,4,45,10.9443643293607,0,48.0455485065991
5,11,0,10.5062947685254,0,44.6835340931055
5,18,7,9.50275436791408,0,46.5640699281751
5,25,0,8.65925998325835,0,49.0742082075785
6,1,NA,9.1886117332395,0,51.7118021280811
6,8,NA,8.53185641594223,0,60.1672214114264
6,15,NA,8.34334627787453,0,72.962008567538
6,22,NA,8.2887724821397,0,91.7755621206574
