"year","month","day","data","median","LB","UB"
2023,3,30,16,16,16,16
2023,4,6,0,0.438175410213323,0,2.53170340651431
2023,4,13,0,0.356964266682997,0,2.12798106809898
2023,4,20,0,0.293806626509084,0,2.04045495909961
2023,4,27,2,0.252721960486119,0,1.97408887827313
2023,5,4,0,0.245926699603408,0,1.90847391969796
2023,5,11,0,0.226008952489307,0,1.96289034379665
2023,5,18,0,0.192769989084892,0,1.86257616944519
2023,5,25,0,0.214291650248294,0,1.90832727752853
2023,6,1,NA,0.17030978106988,0,1.83012003078988
2023,6,8,NA,0.172021062900556,0,1.90192126485436
2023,6,15,NA,0.185637944560417,0,1.97359357306109
2023,6,22,NA,0.166757438317594,0,1.90292889393334
