year,month,day,data,median,LB,UB
2023,3,23,16,16,16,16
2023,3,30,18,10.6064855458538,-0,31.9035489309963
2023,4,6,6,11.8033794731657,-0,31.3291406019355
2023,4,13,14,12.3093091821467,-0,32.5010820745401
2023,4,20,9,12.7042343473595,-0,34.8057276467345
2023,4,27,16,13.285504304479,-0,34.9844766087815
2023,5,4,17,13.492380155053,-0,35.2452205175703
2023,5,11,8,13.0052607525871,-0,34.6634147018755
2023,5,18,15,12.0101000464643,-0,32.8672194355709
2023,5,25,8,10.8363533160155,-0,35.3351342707154
2023,6,1,NaN,10.044130914433,-0,36.1550448055888
2023,6,8,NaN,8.57617446862241,-0,33.9050187128815
2023,6,15,NaN,7.7572377576581,-0,34.762887486739
2023,6,22,NaN,6.6936436213555,-0,34.0780923794047
