year,month,day,data,median,LB,UB
2023,3,30,3,3,3,3
2023,4,6,0,0.112344958382279,-0,3.91081430642093
2023,4,13,0,0.110265668129113,-0,4.04746095382905
2023,4,20,0,0.19940820634697,-0,4.16278150935763
2023,4,27,2,0.137395703742894,-0,4.12876950487635
2023,5,4,0,0.0921676918284628,-0,4.17340723938264
2023,5,11,0,0.396889011463502,-0,5.50015164712886
2023,5,18,0,1.30467486920302,-0,7.93912379740531
2023,5,25,4,3.44298076043528,-0,10.0727724042658
2023,6,1,NaN,6.33907281897164,-0,11.2121004263277
2023,6,8,NaN,6.92741052221992,-0,12.3688309841356
2023,6,15,NaN,7.25974467594793,-0,13.2230503950575
2023,6,22,NaN,7.4868961429688,-0,14.1429999549892
