"year","month","day","data","median","LB","UB"
2023,3,30,111,137.47943495314,62.0553266791309,205.596389762897
2023,4,6,182,132.347313542738,60.550751742106,204.607216053717
2023,4,13,94,127.215192138267,57.0047767305943,198.015966671602
2023,4,20,70,122.083070729076,48.3793111426611,196.972336888733
2023,4,27,137,116.950949327158,44.3037297352501,184.850032328038
2023,5,4,163,111.818827926065,38.2495095202171,188.108707096573
2023,5,11,146,106.6867065206,33.8375962762414,179.062658670621
2023,5,18,75,101.554585109282,32.5977850078557,177.031254143194
2023,5,25,111,96.4224637053302,21.2835116638543,167.266207583076
2023,6,1,54,91.2903423013783,22.8289761649109,163.408357873624
2023,6,8,NA,86.1582208974263,12.5289982750752,163.149511763313
2023,6,15,NA,81.0260994934743,10.1222642210734,151.126817064182
2023,6,22,NA,75.8939780895223,4.66646295531404,146.371707087354
2023,6,29,NA,70.7618566855704,0,142.053480519078
