"year","month","day","data","median","LB","UB"
2023,3,30,0,0.374255383920574,0,3.63357010780342
2023,4,6,15,0.303207261826372,0,2.03294019871096
2023,4,13,0,0.239144294676512,0,1.9951236891017
2023,4,20,0,0.181084624884466,0,1.66588062298606
2023,4,27,0,0.128222172985473,0,1.41950106178644
2023,5,4,0,0.0798889902113118,0,1.45588660251999
2023,5,11,0,0.035526886585489,0,1.1685097988057
2023,5,18,0,0,0,0.959169245557469
2023,5,25,0,0,0,0.851112762174176
2023,6,1,0,0,0,0.688181836746919
2023,6,8,NA,0,0,0.520389652726591
2023,6,15,NA,0,0,0.563038469041471
2023,6,22,NA,0,0,0.410440288339668
2023,6,29,NA,0,0,0.324284590933923
