"month","day","data","median","LB","UB"
4,13,1,1,1,1
4,20,0,-5.0541139451598,0,4.99801725679009e-07
4,27,0,-0.100544550003916,0,5.39996409376892e-07
5,4,0,-0.0750589665032635,0,4.20670783085949e-07
5,11,0,-0.0646603878208754,0,4.46958115936812e-07
5,18,0,-0.0554263173559012,0,3.28644470165781e-07
5,25,0,-0.0482367401404551,0,3.2336042409412e-07
6,1,0,-0.0439536531738397,0,3.45743023727719e-07
6,8,NA,-0.0389636805193364,0,4.05808139569793e-07
6,15,NA,-0.0366879048913519,0,4.6339691937926e-07
6,22,NA,-0.034170366645244,0,3.51146759709617e-07
6,29,NA,-0.0313411946152954,0,3.98443126321502e-07
