"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-04-06,0,0.258433214445215,0,0,0,0,0,0,0,0.043359348443325,0.0861473736676834,0.174008359588274,0.167482173753259,51.5946899994579,7.17938367119162,3.41711954495551,1.7198219345803,1.2913829324089,0.961477978493458,0.884586714416815,0.636358470449131,0.511565924727625,0.417178218520718,0.30153023643009
2023-04-13,0,0.246880944733914,0,0,0,0,0,0,0,0.0345822680934011,0.0963982896643862,0.126283814565054,0.175520672131884,9.77785583501704,5.48358005452587,3.30734224917396,1.85854916368573,1.22949706297907,0.903638690881435,0.674126992085132,0.606913354990988,0.49000688937311,0.374729534463729,0.307523174061765
2023-04-20,0.8,0.235538842617035,0,0,0,0,0,0,0,0.0239485739624445,0.0437689378521824,0.117861070486582,0.189322108866712,27.7169843664137,5.35194945091382,3.21595119967096,1.62283616323643,1.11425061299587,0.92992642733045,0.760113203093193,0.51971250662601,0.416690104488253,0.369870916500779,0.315258235295262
2023-04-27,0,0.224401224675915,0,0,0,0,0,0,0,0,0.082402730918574,0.12004234192121,0.163637679267451,25.9877382050755,5.52001301257583,2.50694745198323,1.63907345902978,1.060259657332,0.869539810757305,0.684124896707951,0.556452938222819,0.467825351357545,0.356121870750671,0.297762600217368
2023-05-04,0,0.213462610252939,0,0,0,0,0,0,0,0.0270072809704003,0.0364609761211399,0.0864977160620761,0.170460255189128,31.0985408352488,4.60618358592402,2.98507855390855,1.59337899859576,1.23595211231137,0.896135561935262,0.715604060679602,0.57144291556155,0.397594557651377,0.351576677332152,0.289427353661485
2023-05-11,0,0.202717712935785,0,0,0,0,0,0,0,0,0.00904472868488782,0.130138866237246,0.14697390621625,11.7433581711312,4.17906554677287,2.90577625616541,1.41558100403484,1.08952332442243,0.856597315844956,0.636732232111062,0.507537729855703,0.391116631548272,0.39727363145161,0.259639817217703
2023-05-18,0.923076923076923,0.192161432026726,0,0,0,0,0,0,0,0,0.0426524705508626,0.0704992051201325,0.131244966173697,12.315067083094,4.34014986870808,2.83063001327094,1.46639293515192,1.05141164018808,0.827773426809515,0.599869210998733,0.487384514983233,0.430083104959378,0.28684625017821,0.250558320269496
2023-05-25,0,0.181788844202032,0,0,0,0,0,0,0,0,0.0364278424425561,0.092903699028283,0.137949099574341,12.873503862152,3.5101464800698,2.18011503423481,1.62825725407286,0.987720701625655,0.740177729232045,0.594088393161383,0.513759053213767,0.402745463066006,0.354560657855493,0.266261818801801
2023-06-01,0,0.171595196138959,0,0,0,0,0,0,0,0,0,0.0711758827267446,0.113985707683728,14.4911410121978,4.91296562932942,2.88610594079412,1.3358396378287,0.952278273906948,0.710101487850219,0.612790549645372,0.459272463735119,0.387857774466253,0.308744969793979,0.241975349381637
2023-06-08,0,0.161575897047466,0,0,0,0,0,0,0,0,0.0170355424805433,0.0503349368462866,0.104290398814345,7.95506830160087,4.16426683755635,2.1216863412596,1.29143062412857,0.930765621505498,0.674611393619252,0.581987583268562,0.44595967366798,0.362121530652696,0.300584988781979,0.229332253312779
2023-06-15,NA,0.151726511840222,0,0,0,0,0,0,0,0,0,0.0325569965541017,0.0877734517316411,6.1974315137053,4.08922304510054,2.16460369987761,1.49741699779019,0.950148403148202,0.715748469509029,0.615085619807668,0.452522069242712,0.344647900767271,0.240000144065535,0.221155368824907
2023-06-22,NA,0.142042754591381,0,0,0,0,0,0,0,0,0.0114443680234639,0.0256229088695505,0.0908165585864233,6.25062431373658,3.14046887784369,2.50376242903673,1.27995479937697,0.885428532194199,0.711782665623353,0.566001483833554,0.483047022084275,0.369830930134988,0.261272582817242,0.192742216848732
2023-06-29,NA,0.132520482318091,0,0,0,0,0,0,0,0,0,0.0288076356414619,0.0607226983282159,6.53164627984626,3.75517521201412,1.94548242200174,1.15518797986584,0.944939143391402,0.596410737576222,0.582118184631459,0.386185715712467,0.335009325798527,0.233618502344092,0.162273894637398
2023-07-06,NA,0.12315568907053,0,0,0,0,0,0,0,0,0,0.0532613305575589,0.0574977803511507,40.1240955110197,3.82483998882092,1.94531495450879,1.12155909993798,0.827661285097958,0.612397121628401,0.475230748110174,0.411024139675185,0.290853086416361,0.286815212645146,0.167485756162949
