"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-04-06,0,0.169925036809504,0,0,0,0,0.00403738375364182,0.0230409935254161,0.0705567417039943,0.0867921072459383,0.107402896199113,0.132040895602839,0.138824044272366,0.838979465975305,0.704110339050365,0.552897698969494,0.454271875444175,0.41157281324338,0.348796969742792,0.316626146338592,0.280040223087965,0.239437997893645,0.21485491275775,0.181000021234477
2023-04-13,0.5,0.14166535610466,0,0,0,0,0,0.0164483603229464,0.0259904423932618,0.0586419861652681,0.0785758745994307,0.102691033177886,0.129126262358411,0.865914573370238,0.610415398059677,0.529357535530672,0.430309239487412,0.38580257848458,0.316360447815428,0.278115614685945,0.241790547762656,0.216592468297865,0.189359129627708,0.170929334958025
2023-04-20,0,0.114738707138468,0,0,0,0,0,0,0.0147229784161005,0.0394708609672014,0.0569206874656372,0.0807095444699208,0.0893187558661608,0.670993315287038,0.562505846647461,0.512924751869964,0.371587876317642,0.311848166593427,0.251977679382311,0.23911820397831,0.207258476583479,0.17913396343281,0.1680343736926,0.132047689956062
2023-04-27,0,0.0890529443910864,0,0,0,0,0,0,0,0.00906555835776057,0.0290050600337368,0.0495271664726826,0.0800047152809145,0.582322728251062,0.529548557210057,0.432353190755697,0.367450631990992,0.267241403752034,0.251328631375042,0.228324511407737,0.180614277258133,0.151435728831169,0.130350471592445,0.120072959382049
2023-05-04,0,0.0645242221382929,0,0,0,0,0,0,0,0,0,0.024908001316136,0.0523063442274505,0.651592601118695,0.480007682528801,0.402982524505956,0.297095886009223,0.249952657261226,0.212130288958519,0.171344953175519,0.145223112707752,0.122272458312808,0.0946467648400722,0.0866316548061985
2023-05-11,0,0.041076082302121,0,0,0,0,0,0,0,0,0,0.00356771595611804,0.0229341865854999,0.616616483746952,0.451662296643395,0.356405207575493,0.25514453947981,0.209232441804916,0.180881104390682,0.160129057309219,0.124012473818439,0.0981778468355505,0.0831398941524966,0.0630893086829791
2023-05-18,0,0.0186386585418044,0,0,0,0,0,0,0,0,0,0,0,0.45770546507259,0.401796413607494,0.308132713612559,0.253107783987478,0.184946434452775,0.153390291548088,0.12187208488749,0.0862233065418809,0.0783494144565873,0.0602110592280838,0.0349181455788832
2023-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418597803737194,0.330287640204094,0.295706295351631,0.198562157738607,0.14418109825842,0.138703283369126,0.111323926359333,0.0668174628466496,0.0571773900869088,0.0336285792838265,0.015721520856107
2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447321914912784,0.324706197731338,0.248897899598621,0.170453766958172,0.128997434781355,0.109137629989411,0.0756816981643551,0.0538760414625299,0.0334842372225277,0.000673229957312005,0.000147284527116209
2023-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363676270979798,0.284291436905695,0.224748702530573,0.146871357300379,0.112374633617029,0.0771408313993494,0.0413812201128738,0.0195046381960684,0.00252652818764298,0.00218918515600386,0
2023-06-15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.312792094720708,0.241479524763888,0.184746420396814,0.141185967391492,0.0853587507008895,0.0330547559864305,0.0255899712517682,0,0,0,0
2023-06-22,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.32438074725996,0.213410735924026,0.154525481849393,0.0878106885305192,0.0639681332146049,0.0282177299493833,0.00409853498097745,0,0,0,0
2023-06-29,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.259482226286513,0.165099434214818,0.139867312869298,0.0603538712506775,0.0255895584612384,0.00292587225100416,0,0,0,0,0
2023-07-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.223997184789537,0.154514308681786,0.106763065997876,0.0379065278704342,0.00293823941754323,0,0,0,0,0,0
