"year","month","day","data","median","LB","UB"
2023,4,6,0,0,0,7.66039607680333
2023,4,13,0,0.0697343420806593,0,8.899501020827
2023,4,20,2,0.99298434250226,0,10.2108825070841
2023,4,27,0,1.9162343434484,0,11.5072823675635
2023,5,4,4,2.83948434371859,0,11.9384288034174
2023,5,11,1,3.76273434452646,0,13.1607556258619
2023,5,18,0,4.68598434479541,0,13.9362457121406
2023,5,25,17,5.60923434530565,0,14.4408617421795
2023,6,1,0,6.53248434587433,0,15.5151142553051
2023,6,8,9,7.455734346443,0,16.7353507060785
2023,6,15,NA,8.37898434701168,0,17.0272840445067
2023,6,22,NA,9.30223434758035,0.129543026872413,18.2507680604412
2023,6,29,NA,10.225484348149,1.36045932477063,19.2341808679648
2023,7,6,NA,11.1487343487177,1.82701714166356,20.3864676473191
