"year","month","day","data","median","LB","UB"
2023,4,6,4,10.8454854533733,0.766350309404923,27.4595105541682
2023,4,13,15,11.2674636375686,1.48483803565829,26.9491974321158
2023,4,20,12,11.6953295062011,1.74638262111807,28.7377096596568
2023,4,27,16,12.129042823363,1.80752514486413,28.4726899457531
2023,5,4,15,12.5685644310507,2.04509481530015,29.8825836767636
2023,5,11,5,13.0138561998344,1.4459776846167,29.6099787161691
2023,5,18,28,13.4648809817544,2.6181926650007,30.1707186759129
2023,5,25,17,13.9216025680083,3.06852786344162,32.4595187168555
2023,6,1,20,14.3839856468512,2.78806804821518,32.9651466216339
2023,6,8,4,14.8519957666221,2.64648394001262,33.7298285160115
2023,6,15,NA,15.3255992991758,2.77942455636013,33.0588826593264
2023,6,22,NA,15.8047634061332,3.4442286414517,33.2596506905084
2023,6,29,NA,16.2894560069819,3.33121066502971,33.8571871595512
2023,7,6,NA,16.7796457489869,4.12497421228587,35.1795247372464
