"year","month","day","data","median","LB","UB"
2023,4,6,1,1,1,1
2023,4,13,7,8.578229799706,0,19.7160870017738
2023,4,20,17,14.8971039244588,3.16260960276222,26.7938771022867
2023,4,27,19,17.2020836404955,5.19331096585798,28.6190722516926
2023,5,4,19,15.4010097165541,4.08641200433397,26.4897334483127
2023,5,11,7,12.2757490774824,0.817435452789562,23.0045554563322
2023,5,18,9,8.70506643705969,0,19.9107157535618
2023,5,25,5,6.15105602183069,0,17.5659107638192
2023,6,1,15,7.99418327804633,0,18.9899238390712
2023,6,8,0,6.15975833539953,0,19.7854789544085
2023,6,15,NA,3.8243364490883,0,22.3270972661396
2023,6,22,NA,2.40392944621427,0,22.9073932752814
2023,6,29,NA,1.84513679958202,0,21.4047912421666
2023,7,6,NA,1.31197525677852,0,20.8413810156727
