"year","month","day","data","median","LB","UB"
2023,4,6,13,13,13,13
2023,4,13,2,6.08067579780558,0,27.7312791010516
2023,4,20,10,6.1882463884535,0,28.9491921195302
2023,4,27,7,5.98007816070231,0,28.4550549981975
2023,5,4,0,6.85386960527114,0,37.4325295522351
2023,5,11,22,17.700231594334,0,50.4698166576664
2023,5,18,0,5.05437093336898,0,31.9897452696821
2023,5,25,14,4.01231546248473,0,25.5546684051056
2023,6,1,6,3.50339674349697,0,27.2554694616435
2023,6,8,0,2.50562081429418,0,24.5394372677259
2023,6,15,NA,2.03820334166387,0,23.3481515566013
2023,6,22,NA,1.6300687951553,0,22.3286308422229
2023,6,29,NA,1.43474984264196,0,22.6580636726429
2023,7,6,NA,1.28830126962657,0,22.1002811474926
