"year","month","day","data","median","LB","UB"
2023,4,6,15,15,15,15
2023,4,13,0,2.89133631984979e-14,0,1.50218094878825e-13
2023,4,20,0,2.73838763829777e-14,0,1.50458450104216e-13
2023,4,27,0,2.90911781568741e-14,0,1.49723179179436e-13
2023,5,4,0,2.87389581508785e-14,0,1.47025422216852e-13
2023,5,11,0,2.87572800660815e-14,0,1.47581799656977e-13
2023,5,18,0,2.84513617983967e-14,0,1.4836487718248e-13
2023,5,25,0,2.82844618058385e-14,0,1.45831043743466e-13
2023,6,1,0,2.87004998480041e-14,0,1.47009927810732e-13
2023,6,8,0,2.92821074188588e-14,0,1.44664391113461e-13
2023,6,15,NA,2.85631675708311e-14,0,1.49125865038458e-13
2023,6,22,NA,2.76066835305629e-14,0,1.45838129437982e-13
2023,6,29,NA,2.7677061844776e-14,0,1.46391365446672e-13
2023,7,6,NA,2.73289793936253e-14,0,1.47702036096622e-13
