"year","month","day","data","median","LB","UB"
2023,4,13,2,6.99181780424211,0,20.6227143875575
2023,4,20,10,7.05967379228691,0,20.1488786339983
2023,4,27,7,7.12752977824143,0,20.0476264374598
2023,5,4,0,7.19538576346645,0,20.7376778698592
2023,5,11,22,7.26324174584443,0,20.5790660752066
2023,5,18,0,7.33109772955685,0,21.3247877269956
2023,5,25,14,7.39895371473976,0,20.9724760300132
2023,6,1,6,7.46680970167964,0,19.8080178352418
2023,6,8,12,7.53466569096242,0,20.7633207363872
2023,6,15,0,7.60252168024521,0,21.4710562523657
2023,6,22,NA,7.67037766952799,0,21.7101129448892
2023,6,29,NA,7.73823365881078,0,20.4293692562156
2023,7,6,NA,7.80608964809356,0,21.7031689142925
2023,7,13,NA,7.87394563737635,0,21.3501826477579
