"year","month","day","data","median","LB","UB"
2023,4,13,0,0.366067221244502,0,9.30924782064918
2023,4,20,2,1.10424599731753,0,10.180522645318
2023,4,27,0,1.84242477348934,0,11.3226245745877
2023,5,4,4,2.58060355082939,0,12.1491963558358
2023,5,11,1,3.31878232858732,0,12.3072658996672
2023,5,18,0,4.05696110617864,0,13.1784569342319
2023,5,25,17,4.79513988359065,0,14.5265229883017
2023,6,1,0,5.53331866240473,0,14.2839433778468
2023,6,8,9,6.27149744247671,0,15.6978925377359
2023,6,15,4,7.00967622254869,0,15.7316588722482
2023,6,22,NA,7.74785500262067,0,16.3387790816594
2023,6,29,NA,8.48603378269265,0,17.8614408884811
2023,7,6,NA,9.22421256276463,0.58890400808525,18.0928141646185
2023,7,13,NA,9.96239134283661,0.484618544950382,19.1276865438309
