"month","day","data","median","LB","UB"
4,13,12,12,12,12
4,20,2,10.171795369489,0,40.9035896255409
4,27,0,13.6025958693301,0,45.5420680995172
5,4,34,17.1506513042652,0,49.2316138970739
5,11,6,18.5841671698831,0,51.7599824631435
5,18,31,18.6272892204812,0,50.97521623196
5,25,18,15.4965793284261,0,47.0552926349329
6,1,0,12.9007842299877,0,43.3962186345595
6,8,24,9.71867977092491,0,40.0398771905945
6,15,0,7.54721141646107,0,39.077106773185
6,22,NA,6.17309043961074,0,39.7531682365104
6,29,NA,4.53193772905747,0,38.745840581696
7,6,NA,3.57159783860114,0,40.9945540952451
7,13,NA,3.29874872593186,0,43.2408448558265
