month,day,data,median,LB,UB
4,13,99,99,99,99
4,20,63,77.9082338982273,32.1414804635807,130.598524163614
4,27,107,101.940448317922,54.0308443417206,150.617454536317
5,4,142,117.401076501598,70.1979472590912,164.870369691305
5,11,98,121.171080886674,71.4179804877556,169.688903524694
5,18,103,111.079247399797,63.2954529780741,159.106115598665
5,25,103,92.4857272838338,45.8795932623055,139.391359024496
6,1,85,72.2380577587054,24.9681825816874,120.135653075781
6,8,67,52.1812529361167,5.75080493079095,99.1549190187872
6,15,7,37.4083570313308,-0,87.0118216961158
6,22,NaN,25.9226612952095,-0,74.4916593210224
6,29,NaN,18.0516017290084,-0,66.9260146380283
7,6,NaN,12.2783134774239,-0,58.0483233061909
7,13,NaN,8.72759475652127,-0,55.2819765253006
