"month","day","data","median","LB","UB"
4,13,2,2,2,2
4,20,10,7.05637462693531,0,28.5150270981363
4,27,7,7.50073657320261,0,26.7883140087854
5,4,0,8.37098037714811,0,27.8282781202131
5,11,22,9.15078996207723,0,28.315664244971
5,18,0,9.05597510232769,0,28.5456863678596
5,25,14,8.33407149837322,0,27.7403074190346
6,1,6,7.40536303384814,0,27.2412165111169
6,8,12,6.63036956992886,0,26.7857916940836
6,15,0,5.81217359430365,0,27.9101096642559
6,22,NA,5.51069463799878,0,28.4673896252382
6,29,NA,5.10597412329096,0,32.5674314216794
7,6,NA,4.68203701518925,0,37.7791819667831
7,13,NA,4.1555521625465,0,43.7056267474679
