"year","month","day","data","median","LB","UB"
2023,4,13,1,1,1,1
2023,4,20,0,-0.58509934952157,0,2.76791679977085e-06
2023,4,27,0,-0.51775987432917,0,2.70813490858241e-06
2023,5,4,0,-0.45773271476479,0,2.71829522527081e-06
2023,5,11,0,-0.405588814090708,0,2.68336463829187e-06
2023,5,18,0,-0.361587656544881,0,2.62434995755104e-06
2023,5,25,0,-0.323477642166546,0,2.69414589510591e-06
2023,6,1,0,-0.290700203164804,0,2.46789576868288e-06
2023,6,8,0,-0.262374119514971,0,2.79598489254564e-06
2023,6,15,0,-0.237935122719439,0,2.68109511559715e-06
2023,6,22,NA,-0.216711944182868,0,2.72520550888848e-06
2023,6,29,NA,-0.198158273367833,0,3.09199272873476e-06
2023,7,6,NA,-0.181837074196179,0,2.96294831544714e-06
2023,7,13,NA,-0.167562087823655,0,2.5168900802524e-06
