"year","month","day","data","median","LB","UB"
2023,4,13,14,14,14,14
2023,4,20,9,11.0624833842732,0.136436550181937,22.933386070912
2023,4,27,16,15.2523890030598,4.35618540593618,26.2144621596186
2023,5,4,20,18.4092953293524,7.68058175479203,29.9608301594359
2023,5,11,15,20.2025416053052,8.80059885910236,31.8898418840939
2023,5,18,17,19.3197645842732,8.23848645096993,30.6818680065621
2023,5,25,26,16.4698391383899,5.27784569481392,27.2684405610374
2023,6,1,12,12.6014982316047,1.68877350706113,23.7030875042925
2023,6,8,4,9.19053952930951,0,20.3950411131076
2023,6,15,5,6.1352721013909,0,17.4996223846092
2023,6,22,NA,4.4143929151369,0,15.3271562172365
2023,6,29,NA,3.06762724373816,0,13.4233432076903
2023,7,6,NA,1.95450809100964,0,13.0387988108617
2023,7,13,NA,1.38129576815311,0,11.5757757136479
