"year","month","day","data","median","LB","UB"
2023,4,13,9,9,9,9
2023,4,20,0,10.1152102211642,0,31.5068316277602
2023,4,27,45,43.3739233526326,10.317966541408,65.0093648886742
2023,5,4,0,8.23733606614468,0,30.7685374225924
2023,5,11,7,6.98514152804264,0,27.9163571636965
2023,5,18,0,5.50063482762668,0,25.926715970221
2023,5,25,3,4.53690234771842,0,25.4186477660132
2023,6,1,0,3.54760420122274,0,24.4193157219602
2023,6,8,6,2.90920901854202,0,24.0378660369077
2023,6,15,0,2.3924557355879,0,23.6721499169868
2023,6,22,NA,1.52415096693736,0,22.3958719746305
2023,6,29,NA,1.41605195377682,0,22.2910626660619
2023,7,6,NA,0.924504257335707,0,21.7757208448924
2023,7,13,NA,0.799589800561833,0,22.1090276614516
