"year","month","day","data","median","LB","UB"
2023,4,13,1,1,1,1
2023,4,20,0,1.40584775137044e-14,0,7.35063182901562e-14
2023,4,27,0,1.45120591569778e-14,0,7.23454555173315e-14
2023,5,4,0,1.32496483941837e-14,0,7.35263949469675e-14
2023,5,11,0,1.41599280164598e-14,0,7.47855708355863e-14
2023,5,18,0,1.37492680094772e-14,0,7.39820302707762e-14
2023,5,25,0,1.4317470257674e-14,0,7.51109853334548e-14
2023,6,1,0,1.39670123134538e-14,0,7.35976834723768e-14
2023,6,8,0,1.37542041965028e-14,0,7.33528656290947e-14
2023,6,15,0,1.39121290022403e-14,0,7.48491600222397e-14
2023,6,22,NA,1.49266434004203e-14,0,7.35779179758464e-14
2023,6,29,NA,1.31605687431637e-14,0,7.29885310690029e-14
2023,7,6,NA,1.44676450670906e-14,0,7.19852447799301e-14
2023,7,13,NA,1.42746767045432e-14,0,7.19837272893316e-14
