"year","month","day","data","median","LB","UB"
2023,4,13,99,99,99,99
2023,4,20,63,81.1536557898323,2.32635148319145,167.084088473342
2023,4,27,107,106.012815589425,23.4387718194521,195.631617463365
2023,5,4,142,125.937919235053,40.7751040703357,210.379885087741
2023,5,11,98,123.554074378279,44.0880514827469,204.580297332702
2023,5,18,103,108.656305786547,28.0862891677395,190.78201494062
2023,5,25,103,90.1558535577555,9.9813154406819,168.882233443109
2023,6,1,85,71.0518382758656,0,149.858647972156
2023,6,8,67,54.4198952369359,0,133.463261692821
2023,6,15,7,42.7167195996973,0,122.581908380558
2023,6,22,NA,33.7476409379666,0,121.172513275551
2023,6,29,NA,28.1060784841473,0,125.420441166707
2023,7,6,NA,24.5557846125536,0,137.293787762579
2023,7,13,NA,20.3975242273648,0,132.022489688226
