"year","month","day","data","median","LB","UB"
2023,4,13,15,15,15,15
2023,4,20,12,10.1939360443421,0,41.8112474610033
2023,4,27,16,12.9934174567331,0,45.1299956759662
2023,5,4,15,16.8025431895642,0,50.7908741576624
2023,5,11,5,18.5300744983351,0,53.239768356792
2023,5,18,28,17.7444377177541,0,51.4676162088966
2023,5,25,17,15.9758735777562,0,49.725407497668
2023,6,1,20,13.1235987516466,0,47.196644788271
2023,6,8,4,10.9150137417082,0,42.9457092736286
2023,6,15,0,9.26459277621318,0,40.9294072751688
2023,6,22,NA,7.61869613870352,0,43.1668128641801
2023,6,29,NA,6.65412269324255,0,43.5493950670234
2023,7,6,NA,6.00017414930632,0,44.4815610902047
2023,7,13,NA,5.32297121185188,0,46.4274440944866
