"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-04-20,0,0.58097752065519,0,0,0,0,0,0.122699238018408,0.226292544599656,0.311334339009034,0.314862143382551,0.426415423977334,0.511088533970716,1.79669861995244,1.56332305787984,1.44076704145433,1.31064670228679,1.15752590820008,1.04904763588232,0.934898285696755,0.853092853621548,0.781920479371788,0.712875317469549,0.640214373264144
2023-04-27,2,0.496346342987999,0,0,0,0,0,0.0443843649280973,0.135914451457823,0.229752829832987,0.279580803607748,0.374514121111571,0.444100625469141,1.71640162493279,1.51271305296153,1.426785344262,1.21157153632103,1.06157040400587,0.971797954463892,0.859153046883477,0.742965805949683,0.724535223347081,0.693617806109856,0.602095950572976
2023-05-04,0,0.41171516303763,0,0,0,0,0,0,0.0590244262081448,0.140541769989679,0.189035216149177,0.266805508619749,0.300383695933786,1.63890802003616,1.56697640320646,1.27694973590461,1.11965067275176,0.929391669247723,0.848461005311155,0.769516157452007,0.691503487905628,0.592412226750228,0.513103088335898,0.432635863615606
2023-05-11,0,0.327083985584844,0,0,0,0,0,0,0,0.0345323582827886,0.113223817779948,0.160701744617286,0.28121944809902,1.62560694419846,1.35831651858358,1.2322886733586,0.995480759871755,0.883868084734376,0.7807631355794,0.699187941020516,0.574290053552121,0.525338206928202,0.459657637841681,0.413587964890501
2023-05-18,0,0.242452809607973,0,0,0,0,0,0,0,0,0.0574830229712952,0.117080889813794,0.214154607932635,1.45783473402452,1.28444046487506,1.11371876924344,0.938848052754259,0.850235289712463,0.67686478207271,0.612930382308187,0.513945082021547,0.466492924348422,0.366372488293809,0.340863768465732
2023-05-25,0,0.157821634750421,0,0,0,0,0,0,0,0,0,0.0428200922151349,0.11671121104662,1.40544662430112,1.24290171414494,1.06731847378462,0.838833402175734,0.777791938515966,0.634898303358228,0.509102225102993,0.444385873058026,0.368217277110177,0.278551583416002,0.239745606944527
2023-06-01,0,0.0731904621349669,0,0,0,0,0,0,0,0,0,0,0.00911956362440235,1.50015677158385,1.10570970483766,0.973467231194153,0.758872385790299,0.638091780672866,0.537181871402907,0.440111799153476,0.334396898357068,0.275566852527026,0.2117798498658,0.153520936339752
2023-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24584794206346,1.00686230370686,0.941286478943396,0.679543136351206,0.538888018175786,0.491205797058169,0.351856303372522,0.283046832810629,0.20728128713493,0.118527037302096,0.0497933548133039
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22973691572499,0.9378500211737,0.788954857222543,0.574664828126722,0.467686035772726,0.365580208631422,0.26370913074345,0.196315655839765,0.1469736140476,0,0
2023-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06523553192237,0.872626338653185,0.731298888147421,0.479415282276395,0.373507322955755,0.270541738666049,0.202024612895082,0.0640633639452603,0.064449284205862,0,0
2023-06-29,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.992369836454268,0.747270644211561,0.584810710775644,0.423724661073909,0.294286407360246,0.210112453891773,0.0704552831612642,0,0,0,0
2023-07-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.896341765261329,0.649688117927092,0.511397834782711,0.302160651998135,0.213291253976216,0.0933140003171694,0,0,0,0,0
2023-07-13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.88104856289925,0.579379227377231,0.450845794329695,0.23532812592688,0.133953690139308,0.0232591491985502,0,0,0,0,0
2023-07-20,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.639714593040996,0.574057533183974,0.348053870726755,0.101552099701545,0.0257645562623149,0,0,0,0,0,0
