"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.55268500973565e-09,1.813890468806e-09,1.23534505012236e-09,7.41893772438588e-10,4.01293016932095e-10,1.59937707562839e-10,2.10342849458661e-11,0,0,0,0
2023-07-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.96806835826163e-09,5.28361560507682e-09,3.40200137606047e-09,2.48869793051963e-09,1.54586929352551e-09,9.46595571984717e-10,6.30171581369946e-10,2.58757410464491e-10,8.28960351224816e-11,0,0
2023-07-13,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.25625454475347e-08,9.46614332413597e-09,6.40812979750471e-09,4.75354497394057e-09,3.38073918253089e-09,2.23147666132788e-09,1.79216783681271e-09,9.39103934689962e-10,5.33342893323335e-10,2.56454224421885e-10,0
2023-07-20,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.86185964018133e-08,1.41018228742988e-08,1.01471072653562e-08,7.36889055704331e-09,5.53794124860029e-09,3.60490199276767e-09,3.09830271833158e-09,1.82580224730335e-09,1.08936318837991e-09,6.87829406442316e-10,1.34799223037782e-10
