"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-04-20,2.64587250681073,11.4451171543701,1.78896951084106,2.48519126940048,3.52446236373504,4.54506065934442,5.51377378453416,6.37635347497607,7.32095011987174,8.06556666813926,8.91427590246988,9.6687351852086,10.6546165025189,47.2755944415054,40.5665597302861,32.2129338923684,26.0387034185981,23.0235882671048,19.1863033923938,17.631476477356,15.6013005078547,14.5436738921511,13.682703890492,12.7828914981016
2023-04-27,1.87447095452885,8.5384065976211,1.22016296788666,1.79232021570559,2.51819774701742,3.1102911230017,3.9172931542703,4.80225633287468,5.30197299109204,5.73823417510267,6.78610666391246,7.27049817578265,7.42113345193766,37.9300403593198,29.1559062957333,23.3966013376474,19.0297053681446,17.2405896704908,14.7488750774198,13.3425552187402,11.9635890129249,11.0521233135148,9.92614704665857,9.19209392735667
2023-05-04,2.44036908603927,6.28442825928531,0.53952727266839,1.09706813949755,1.53726501462501,2.2793986618002,2.78451236879353,3.62307739988245,3.89705286402699,4.29247573259759,4.76320650059842,5.44781898719607,5.77236977886208,26.0054607580556,20.6684582867109,19.5584447024882,14.9896354337564,12.6254670199679,11.6992091893991,9.72083367053513,9.15545254110219,8.42262916068218,7.78967894009232,6.94037314598197
2023-05-11,2.73668595711197,4.54262314501892,0.120876975948649,0.562542665827989,0.770949229148158,1.44460126141081,1.85548317349398,2.24459833363684,2.72870461677347,3.0337744954051,3.29973515280359,3.58155580277622,4.23459055641797,21.2100814177118,17.6560787208773,14.5060883221802,11.3712026703404,9.1830181073259,8.70655932343114,7.53952715618394,6.73548793789263,5.85300314769269,5.40420799092427,5.01696913382906
2023-05-18,0,3.20137212024131,0,0.197578356441896,0.446115617897247,0.778334019556147,1.04188019797182,1.39473271778273,1.70768661293994,1.94323373477586,2.21739477818521,2.49002704585249,2.96095783892901,16.2277399637389,13.8850084584878,10.5134381096683,8.43081548137607,6.93817676817356,5.81941842283607,5.53849073453256,4.97113525358113,4.29597383388033,3.89974340406445,3.58070290424533
2023-05-25,2.1913894413569,2.17231769618588,0,0,0.052575995087998,0.268338143919363,0.632494510450982,0.847377134222152,1.05081082518776,1.23256777818221,1.495538772907,1.80001334923764,1.99681006194682,14.4263363091544,9.44881851626379,7.22483044183004,6.01409286818167,5.43303827136245,4.46295893722015,3.82431596491125,3.39808653804075,3.10374235561687,2.79103685084923,2.54817537387938
2023-06-01,0.705298476827551,1.38574355008239,0,0,0,0.0130196711766744,0.229152113573627,0.418146847493413,0.564681053479806,0.631875617056843,0.872508080778317,1.01166280393386,1.19546923028239,8.77986979271879,7.57185442053935,5.96259542434063,4.57226161164647,3.59592970067952,3.1066495855222,2.64097365416728,2.3468817331094,2.18532018166799,1.84097266309931,1.63651329928352
2023-06-08,0.705298476827551,0.786825526041413,0,0,0,0,0,0,0.134231298161582,0.204812655825402,0.348489351671879,0.527261732542551,0.629270332051613,8.3480462184387,4.50084636855391,4.20464435399788,3.12035498666809,2.5761048447681,2.09518309588176,1.83691424329723,1.53777026430618,1.27924732842574,1.06624690193962,0.955299759384113
2023-06-15,0,0.332598674686416,0,0,0,0,0,0,0,0,0.00390400505907684,0.14511011339848,0.244621357000478,5.29445573051677,3.88104745402273,2.99092038334763,2.22721830479101,1.74127082830566,1.34203643890489,1.08670558301244,0.806420482690033,0.677439841371249,0.601383449258498,0.467057438818654
2023-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76074396927227,2.50385629473455,1.82209594441417,1.22314762662693,0.974896931745789,0.795681386609443,0.60572387077417,0.406467227621632,0.334816145699767,0.129030968220022,0.0945698679726057
2023-06-29,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.37357938902784,1.78723726814173,1.21331961867948,0.801502211789396,0.572888910788483,0.329227032281483,0.158739458099267,0.0337210352036914,0,0,0
2023-07-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.84131649401111,1.26699545444613,0.601699143313584,0.305625408533748,0.14818077396207,0,0,0,0,0,0
2023-07-13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.99446518102224,0.787155584549995,0.266156294125706,0,0,0,0,0,0,0,0
2023-07-20,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3950378659951,0.136048243272799,0,0,0,0,0,0,0,0,0
