"year","month","day","data","median","LB","UB"
2023,4,20,2,6.0406420827961,0,47.9876244165556
2023,4,27,0,6.41283862075513,0,65.7953660778412
2023,5,4,34,6.80061196154006,0,67.8350495687709
2023,5,11,6,7.2044460080514,0,67.7211801809986
2023,5,18,31,7.62483455249656,0,77.8361407854731
2023,5,25,18,8.06228143917538,0,75.3285270822971
2023,6,1,0,8.51730064283558,0,78.5744049095663
2023,6,8,24,8.99041630580735,0,83.4455786987664
2023,6,15,31,9.48216294952045,0,85.4933241913205
2023,6,22,0,9.99308547734468,0,71.8578562591687
2023,6,29,NA,10.5237393297493,0,81.3705281682044
2023,7,6,NA,11.0746905708879,0,89.9847907083594
2023,7,13,NA,11.646515989238,0,84.8737503290235
2023,7,20,NA,12.2398031982406,0,88.5094689925497
