"month","day","data","median","LB","UB"
4,20,12,12,12,12
4,27,16,12.9684093837819,0,42.0935024402324
5,4,15,15.0688539016409,0,43.0333790367698
5,11,5,16.8388524585746,0,43.7420317227797
5,18,28,17.8138056790508,0,44.7309873586164
5,25,17,17.8102063966529,0,44.8313532285046
6,1,20,16.4382792312148,0,43.6801505723142
6,8,5,15.3391560091813,0,43.2629020505942
6,15,33,14.466363928225,0,42.5920122701614
6,22,0,12.0504646209308,0,42.3580775599907
6,29,NA,10.5576065214185,0,42.1203682769727
7,6,NA,9.98028407192654,0,42.0520633283891
7,13,NA,8.38452423596216,0,43.3754222782716
7,20,NA,7.71514066228904,0,42.8953466793456
