"year","month","day","data","median","LB","UB"
2023,4,27,19,16.5106093771809,7.12115723895444,25.5030464202432
2023,5,4,19,14.774776088928,6.03361717441416,24.5998880846212
2023,5,11,7,13.0389427991387,4.79942875685163,22.1442848685367
2023,5,18,9,11.3031095097895,1.98111293355913,20.0879165032918
2023,5,25,5,9.56727621806321,0.624208802607343,18.752119771413
2023,6,1,15,7.83144292437548,0,17.3641533760244
2023,6,8,0,6.09560962764807,0,15.4282065136408
2023,6,15,11,4.35977633027963,0,13.3350251488443
2023,6,22,2,2.62394303552688,0,11.8369026710953
2023,6,29,0,0.888109740774132,0,9.52508475800638
2023,7,6,NA,0,0,8.62545952358198
2023,7,13,NA,0,0,6.54926519423007
2023,7,20,NA,0,0,5.56364795380804
2023,7,27,NA,0,0,3.07844663136624
