"year","month","day","data","median","LB","UB"
2023,4,27,2,0.295918305090707,0,1.25648802366084
2023,5,4,0,0.237944717924961,0,0.977601325005133
2023,5,11,0,0.184935983296875,0,0.951450353260332
2023,5,18,0,0.136280505435202,0,0.804706527900774
2023,5,25,0,0.0914631792042797,0,0.756927905828842
2023,6,1,0,0.0500470830348374,0,0.571143623327634
2023,6,8,0,0.0116591877629653,0,0.505167650821274
2023,6,15,0,0,0,0.429132020676011
2023,6,22,0,0,0,0.334233837050517
2023,6,29,0,0,0,0.291959057752242
2023,7,6,NA,0,0,0.203183369148063
2023,7,13,NA,0,0,0.172561755485824
2023,7,20,NA,0,0,0.130152952517937
2023,7,27,NA,0,0,0.106333871773703
