"month","day","data","median","LB","UB"
4,27,2,2,2,2
5,4,0,-4.50481370943391e-07,0,6.51285355887999e-07
5,11,0,-3.57936138221255e-07,0,6.77060207068324e-07
5,18,0,-2.97308141391433e-07,0,7.87500167289149e-07
5,25,0,-2.19678897881531e-07,0,9.15197251552395e-07
6,1,0,-1.42791110498466e-07,0,1.02507868722578e-06
6,8,0,-8.68778071661093e-08,0,1.1345400097945e-06
6,15,0,-2.21698649799685e-08,0,1.25290389686999e-06
6,22,0,4.36605154340204e-08,0,1.43122265675817e-06
6,29,0,1.27661762769266e-07,0,1.62355994270859e-06
7,6,NA,1.94054374252672e-07,0,1.74247443698085e-06
7,13,NA,2.54892613070374e-07,0,1.88871052813215e-06
7,20,NA,2.97493370909627e-07,0,2.08241473860153e-06
7,27,NA,3.68023057680703e-07,0,2.15588905225746e-06
