"year","month","day","data","median","LB","UB"
2023,4,27,2,2,2,2
2023,5,4,0,0.555472176279169,0,7.3777028883613
2023,5,11,0,0.659374101183244,0,7.57160307912298
2023,5,18,0,0.677990988950447,0,7.79247517030248
2023,5,25,4,0.955594738482805,0,7.85672982553872
2023,6,1,4,1.06755593602002,0,8.0394033061112
2023,6,8,0,1.13138728827187,0,8.22148364464807
2023,6,15,0,1.2524318618018,0,8.50351579729119
2023,6,22,0,1.37741236158714,0,8.64775624904216
2023,6,29,0,1.58331927507302,0,9.50111783310994
2023,7,6,NA,1.68380470572181,0,9.72132510997625
2023,7,13,NA,1.68687793944079,0,10.7836377367331
2023,7,20,NA,1.62877369464457,0,11.7949326507599
2023,7,27,NA,1.68673473162632,0,13.3760420284725
