"year","month","day","data","median","LB","UB"
2023,5,4,0,0,0,0.431508714519099
2023,5,11,0,0,0,0.462903349119672
2023,5,18,0,0,0,0.532127879938971
2023,5,25,0,0.0366580626326738,0,0.56477601782704
2023,6,1,0,0.0790043241296654,0,0.585872584232626
2023,6,8,0,0.121350585709243,0,0.629010099061062
2023,6,15,0,0.163696847327546,0,0.700309857769154
2023,6,22,0,0.20604310893377,0,0.729045211260245
2023,6,29,1,0.24838937057244,0,0.772067756792513
2023,7,6,0,0.290735632211109,0,0.832124937235367
2023,7,13,NA,0.333081893849779,0,0.85893614322985
2023,7,20,NA,0.375428155488449,0,0.91447195267612
2023,7,27,NA,0.417774417127118,0,0.953666393644589
2023,8,3,NA,0.460120678765788,0,0.932800194126365
