"year","month","day","data","median","LB","UB"
2023,5,4,4,1.48848322038692,0,89.8983113321327
2023,5,11,1,1.5623881740666,0,60.8784114645146
2023,5,18,0,1.63917208890359,0,61.3342076791684
2023,5,25,17,1.71897424317643,0,57.6167705792118
2023,6,1,0,1.80194199196649,0,111.498914078658
2023,6,8,9,1.88823131116486,0,127.945559034726
2023,6,15,4,1.97800738903045,0,93.1456250379411
2023,6,22,0,2.0714452616703,0,111.457919953981
2023,6,29,0,2.16873049859737,0,73.5247805134839
2023,7,6,35,2.27005994070545,0,203.119558097574
2023,7,13,NA,2.37564250535228,0,165.895942537372
2023,7,20,NA,2.48570005091461,0,185.610078401886
2023,7,27,NA,2.6004683141166,0,250.690647947096
2023,8,3,NA,2.72019792527582,0,246.291075913631
