"year","month","day","data","median","LB","UB"
2023,5,11,7,7,7,7
2023,5,18,0,2.39895336287906,0,9.69344125523371
2023,5,25,3,2.46734434902993,0,9.19946045950178
2023,6,1,0,2.23069233756533,0,8.75785596425408
2023,6,8,6,2.02657478495186,0,8.43694625624862
2023,6,15,0,1.77757021237505,0,8.08692877208953
2023,6,22,5,1.71310171876888,0,7.8618745346006
2023,6,29,0,1.50945362533191,0,7.79026006947281
2023,7,6,0,1.33754593822641,0,8.048265814316
2023,7,13,NA,1.19910610493887,0,8.1390936513836
2023,7,20,NA,1.18304804412942,0,8.73942132913741
2023,7,27,NA,1.02656157936129,0,9.18766025074051
2023,8,3,NA,1.18756566306067,0,10.7732253143977
