"year","month","day","data","median","LB","UB"
2023,5,4,9,9,9,9
2023,5,11,12,8.17466575985348,0,22.3644526378903
2023,5,18,0,6.17571132212441,0,18.3929710060939
2023,5,25,7,4.68494195130557,0,16.7550303410563
2023,6,1,1,3.49572376221108,0,15.0336225357185
2023,6,8,1,2.4826288485761,0,13.8366286771685
2023,6,15,0,2.05413968132905,0,13.2354409110474
2023,6,22,11,1.43322259870988,0,12.4202079604374
2023,6,29,0,1.18572937679584,0,12.0662524572263
2023,7,6,0,1.01549752074192,0,11.8667441884424
2023,7,13,NA,0.970840852731077,0,11.7968417138939
2023,7,20,NA,0.874772377343332,0,12.045101900486
2023,7,27,NA,0.667468742297885,0,12.6365629319189
2023,8,3,NA,0.71199347338285,0,12.8507574363157
