"year","month","day","data","median","LB","UB"
2023,5,4,19,19,19,19
2023,5,11,7,7.9944276884212,0,20.3525215336363
2023,5,18,9,8.77108793437007,0,20.9893713057164
2023,5,25,5,8.62063317507522,0,19.5034190273162
2023,6,1,15,7.62507955172209,0,18.4344424102883
2023,6,8,0,6.59892489766582,0,17.3416969185755
2023,6,15,11,5.36632712311144,0,16.1328052422445
2023,6,22,2,4.141447475929,0,15.1536505763035
2023,6,29,0,3.44503472578706,0,14.0514756918916
2023,7,6,3,2.76278769772845,0,13.5509549845156
2023,7,13,NA,2.14364899777589,0,13.0729722465497
2023,7,20,NA,1.60441555398037,0,12.8828101188052
2023,7,27,NA,1.27563128819608,0,12.6485910508688
2023,8,3,NA,1.19346733633896,0,12.839472296791
