year,month,day,data,median,LB,UB
2023,5,11,1,1,1,1
2023,5,18,0,1.1876474093591,-0,25.0795427616503
2023,5,25,17,1.71049482505912,-0,25.9573359118083
2023,6,1,0,2.43987211873394,-0,26.3502147839746
2023,6,8,9,3.53652772155923,-0,28.3900298809403
2023,6,15,4,3.9830095547551,-0,27.7141772414172
2023,6,22,0,4.34386740660499,-0,28.919323293058
2023,6,29,0,10.6579952137599,-0,78.3625350382528
2023,7,6,63,49.8229734302614,-0,94.8101246591768
2023,7,13,0,9.03409312048426,-0,81.376194339918
2023,7,20,NaN,1.71916258532303,-0,27.571996669437
2023,7,27,NaN,1.21157820990788,-0,27.1263500527253
2023,8,3,NaN,0.261136653064164,-0,26.9361997057724
2023,8,10,NaN,0.260958805417526,-0,26.4460259205837
