"ds","y","prediction","lower.98%","lower.95%","lower.90%","lower.80%","lower.70%","lower.60%","lower.50%","lower.40%","lower.30%","lower.20%","lower.10%","upper.98%","upper.95%","upper.90%","upper.80%","upper.70%","upper.60%","upper.50%","upper.40%","upper.30%","upper.20%","upper.10%"
2023-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-27,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.90434097624812e-09,1.66898483213443e-09,1.05699702653336e-09,6.53283053469936e-10,3.20413164158397e-10,1.21445657038919e-10,4.42969021166971e-11,0,0,0,0
2023-08-03,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.031781064406e-09,4.49707125243495e-09,3.57489852597547e-09,2.38463600795769e-09,1.47512280778367e-09,1.02050026433367e-09,6.16608267465715e-10,4.34722010479476e-10,1.3326839449917e-10,6.90855203092867e-12,0
2023-08-10,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.23460137095376e-08,8.4425034443432e-09,6.71174606486178e-09,4.42214008750778e-09,3.11794520104003e-09,2.26339953340482e-09,1.58125683316342e-09,1.20727039766027e-09,5.53575758656475e-10,3.7466584236796e-10,1.31803630700127e-10
2023-08-17,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.85214153396559e-08,1.36351987016046e-08,9.89797246838244e-09,7.19056586392396e-09,5.08041395116509e-09,3.72669209575178e-09,2.89909048598775e-09,2.24814176285266e-09,1.22057017270472e-09,7.38311513255829e-10,3.88162562928813e-10
