"year","month","day","data","median","LB","UB"
2023,5,18,161.5,24.2429317979215,16.5297666840215,30.2942000176273
2023,5,25,312,23.3629723267829,14.6959411321034,29.5531968241854
2023,6,1,287.5,22.4500156807193,13.9885907497217,28.6657689600047
2023,6,8,364,21.5000455614385,11.7169225865776,27.8375259003929
2023,6,15,337.5,20.5081581046793,10.1528757212219,27.2748731814087
2023,6,22,199.5,19.4682603034321,7.92826149841652,26.383492077873
2023,6,29,144,18.372622296249,2.84825446407977,25.3707471520246
2023,7,6,264,17.2111863809923,1.47972868800417,24.6357980144952
2023,7,13,112,15.9704485554129,0,23.8552381895718
2023,7,20,17.5,14.6315366787976,0,22.6388551180156
2023,7,27,NA,13.1666422877572,0,21.9678948506472
2023,8,3,NA,11.5316626382116,0,21.1712231544045
2023,8,10,NA,9.64853901935034,0,20.3984659702348
2023,8,17,NA,7.35105969415285,0,19.0177741776936
