"month","day","data","median","LB","UB"
5,18,17,17,17,17
5,25,24,22.0801980722672,12.2382351376468,31.0586173854841
6,1,23,25.471527658799,15.9145834486418,33.8023931759554
6,8,26,25.8318637339429,16.7761132301308,34.0467017486377
6,15,25,23.7442085520347,15.3479151100152,32.2198332452707
6,22,19,20.4564985908562,12.3925286632311,29.5188946349543
6,29,16,17.8978511821106,9.75235753485279,27.9044182252221
7,6,22,17.1135807410346,7.83324949414462,28.7218901943839
7,13,14,13.5603976201568,5.07307832144951,27.9148241229833
7,20,5,9.95893751112087,1.8418528296681,25.5167509563685
7,27,NA,7.43370942804779,0,21.4459800636085
8,3,NA,5.49321010388943,0,18.302518501593
8,10,NA,4.02048448556178,0,15.2582961876259
8,17,NA,2.96464729370995,0,13.9414544713257
