"year","month","day","data","median","LB","UB"
2023,5,18,9,9,9,9
2023,5,25,5,8.95354362634349,0,30.6121715204998
2023,6,1,15,8.1024083425862,0,28.6137142687449
2023,6,8,0,6.61747926423067,0,25.2451788835504
2023,6,15,11,4.75027012900078,0,21.7604305435544
2023,6,22,2,3.92845597307125,0,20.8815026555219
2023,6,29,0,3.80375292854567,0,20.8463301850245
2023,7,6,3,3.49319185820799,0,20.4557737340702
2023,7,13,4,3.68647573434889,0,21.1397181580296
2023,7,20,2,3.59884948802903,0,21.9275305418304
2023,7,27,NA,3.55656824179097,0,22.0126415658019
2023,8,3,NA,3.43166835209469,0,23.6911301465144
2023,8,10,NA,2.97134605575422,0,25.6236932728322
2023,8,17,NA,3.02528821202136,0,28.8259154374378
