"year","month","day","data","median","LB","UB"
2023,5,25,3,1.13151915504724,0,14.4274002778934
2023,6,1,0,1.17951727894423,0,16.6915946275871
2023,6,8,6,1.22876257002523,0,16.3386818196058
2023,6,15,0,1.27929178463034,0,17.6539361736371
2023,6,22,5,1.33114289035291,0,17.2761930996828
2023,6,29,0,1.38435511429854,0,17.770024722793
2023,7,6,0,1.43896898613298,0,18.690713553044
2023,7,13,8,1.49502638628615,0,20.4013963508264
2023,7,20,0,1.55257059569509,0,18.8130310875644
2023,7,27,6,1.61164634580775,0,17.8230586777655
2023,8,3,NA,1.67229987566002,0,20.4842625519624
2023,8,10,NA,1.73457898681174,0,19.0998551327244
2023,8,17,NA,1.79853310181428,0,19.459985796634
2023,8,24,NA,1.86421332507939,0,25.7108889482939
