"month","day","data","median","LB","UB"
6,22,12,12,12,12
6,29,0,1.13517763920487e-06,0,4.33391347201604e-06
7,6,0,1.13303089887059e-06,0,4.34024362555303e-06
7,13,0,1.13428582864064e-06,0,4.37673353982952e-06
7,20,0,1.14567686393454e-06,0,4.29962944383368e-06
7,27,0,1.11733066958406e-06,0,4.45602203775055e-06
8,3,0,1.11018589628471e-06,0,4.40752295829931e-06
8,10,NA,1.13865191172651e-06,0,4.23931239435031e-06
8,17,NA,1.12500883438484e-06,0,4.41690402342336e-06
8,24,NA,1.15940033372009e-06,0,4.375836291309e-06
8,31,NA,1.14497875145039e-06,0,4.41005966576359e-06
