"month","day","data","median","LB","UB"
6,1,85,85,85,85
6,8,69,93.212102627514,0,431.572550315832
6,15,114,103.048052093648,0,429.6028378081
6,22,112,114.336555882658,0,437.833391737695
6,29,60,124.026814529869,0,440.993281564684
7,6,155,143.803844301327,0,445.950945763164
7,13,208,161.99744987067,0,476.809753644096
7,20,97,194.622510057185,0,520.695358267617
7,27,32,247.08412758563,0,580.247769940316
8,3,563,321.692496967887,0,675.881387279206
8,10,NA,369.792872134924,0,820.724810987458
8,17,NA,412.210224742303,0,1097.88595741426
8,24,NA,448.891895577207,0,1509.42836443023
8,31,NA,467.599157497961,0,2104.92374365465
