"year","month","day","data","median","LB","UB"
2023,6,1,20,20,20,20
2023,6,8,5,22.6777247938751,0,313.47172853765
2023,6,15,33,32.3216458091367,0,332.808412856074
2023,6,22,17,42.5712865560107,0,340.164833064638
2023,6,29,23,59.2393936806366,0,361.846212785351
2023,7,6,18,80.0892162948319,0,381.819501055887
2023,7,13,116,113.01068329024,0,418.609921329746
2023,7,20,15,157.634906120226,0,471.750538747393
2023,7,27,9,224.462428919284,0,552.553496737579
2023,8,3,498,316.016503517796,0,685.923606530913
2023,8,10,NA,430.541324737336,0,946.36293097562
2023,8,17,NA,593.801756599912,0,1420.4927294677
2023,8,24,NA,816.029115963089,0,2240.50911278708
2023,8,31,NA,1143.45228714357,0,3585.91527427271
