"year","month","day","data","median","LB","UB"
2023,6,22,12,12,12,12
2023,6,29,0,2.4103444716074e-08,0,1.62273737925779e-07
2023,7,6,0,2.43042458888184e-08,0,1.65176013873916e-07
2023,7,13,0,2.44159309766164e-08,0,1.63508917457965e-07
2023,7,20,0,2.65422632140255e-08,0,1.65852955632592e-07
2023,7,27,0,2.30363308455041e-08,0,1.64255775160295e-07
2023,8,3,0,2.50417953061216e-08,0,1.6287573338395e-07
2023,8,10,NA,2.25658815561266e-08,0,1.65825231984518e-07
2023,8,17,NA,2.5053956232024e-08,0,1.708674762182e-07
2023,8,24,NA,2.47521303748965e-08,0,1.64123120071835e-07
2023,8,31,NA,2.41019452007379e-08,0,1.64333081720511e-07
