"year","month","day","data","median","LB","UB"
2023,6,8,0,0,0,1.28979632539496
2023,6,15,0,0,0,1.47213022706413
2023,6,22,0,0,0,1.49054024408969
2023,6,29,0,0.109974187898022,0,1.55271704155954
2023,7,6,0,0.237012972388996,0,1.84793647337897
2023,7,13,0,0.364051757127728,0,1.84517133299395
2023,7,20,0,0.491090541982639,0,2.14185604624504
2023,7,27,0,0.618129326801311,0,2.20060548428947
2023,8,3,3,0.745168111717319,0,2.36921546630798
2023,8,10,0,0.872206896633328,0,2.33689219148908
2023,8,17,NA,0.999245681549337,0,2.44541206135857
2023,8,24,NA,1.12628446646535,0,2.65600648597565
2023,8,31,NA,1.25332325138135,0,2.73841471250429
2023,9,7,NA,1.38036203629736,0,2.9975972597232
